"id","Раунд","Турнир (название)","Турнир (формат)","Турнир (город)","Дата","Резолюция","Тематика (подблок)","Автор / соавтор / предложил тему","Есть видео в
видеотеке"
"46","Р1","ОМТ ГУУ 2010","Открытый","Москва","2010.04","ЭП запретит множественное гражданство","503. Идентичность и/или Интеграция (гражданство)","",""
"47","Р2","ОМТ ГУУ 2010","Открытый","Москва","2010.04","ЭПСЧ решение о выдвижении города-кандидата на проведение Олимпийских игр должно приниматься на референдуме","732. Спорт","",""
"48","Р3","ОМТ ГУУ 2010","Открытый","Москва","2010.04","ЭП запретит использование изображений женского тела в рекламе товаров, не имеющих непосредственного отношения к женскому телу","611. Гендерное неравенство. Права женщин (феминизм)
612. Лукизм (+ Сексуальная объективация + Сексуальное насилие)","",""
"49","Р4","ОМТ ГУУ 2010","Открытый","Москва","2010.04","ЭП запретит продажу и употребление алкоголя лицам, осуждённым за совершение преступлений в состоянии алкогольного опьянения","501. Конфликтология и/или безопасность и/или функции уголовной ответственности
724. Медицина. Алкоголь, табак и проч.","",""
"50","Р5","ОМТ ГУУ 2010","Открытый","Москва","2010.04","ЭПСЧ интернет-пользователи не должны нести ответственности за нарушение авторских прав при скачивании контента","202. Перераспределение.
305. Решение. Стимул работать
402. Конкуренция. Защита (коммерческая тайна, интеллектуальные права, переманивание сотрудников и проч.)","",""
"51","ПФ","ОМТ ГУУ 2010","Открытый","Москва","2010.04","ЭПСЧ отстранённые от власти политики должны иметь иммунитет от преследования за действия, совершённые во время пребывания у власти","501. Конфликтология и/или безопасность и/или функции уголовной ответственности
502. Демократия и авторитаризм..","",""
"52","Ф","ОМТ ГУУ 2010","Открытый","Москва","2010.04","ЭП запретит участие войск НАТО в Параде на Красной площади ","501. Конфликтология. Влияние (международка)
501. Конфликтология. Давление (вооружённые силы)
802. Россия. Политика и общество
802. Россия. Внешняя политика","",""
"53","Р1","VII ОК МГЮА","Открытый","Москва","2010.04","ЭП сделает кровную месть смягчающим обстоятельством преступления","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология. Давление (самооборона / месть)","",""
"54","Р2","VII ОК МГЮА","Открытый","Москва","2010.04","ЭП поддержит вступление Украины в Таможенный союз","402. Конкуренция..
402. Конкуренция. Протекционизм (+ ТНК)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
501. Конфликтология. Влияние (международка)
802. Россия. Внешняя политика
803. Запад б. СССР. Украина.","",""
"55","Р3","VII ОК МГЮА","Открытый","Москва","2010.04","ЭП введет обязательную дактилоскопическую регистрацию","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
501. Конфликтология и/или безопасность. Прослушка и проч. (+ privacy)","",""
"56","Р4","VII ОК МГЮА","Открытый","Москва","2010.04","ЭП запретит коллекторские агентства","306. Действие. Иррациональный / несвободный выбор.
403. Управление (государство, частник, НКО)
501. Конфликтология и/или безопасность и/или функции уголовной ответственности","",""
"57","Р5","VII ОК МГЮА","Открытый","Москва","2010.04","ЭП разрешит работодателям увольнять работников без объяснения причин","202. Перераспределение.
404. Трудовые права.
601. Ущемляемые","",""
"58","ПФ","VII ОК МГЮА","Открытый","Москва","2010.04","ЭП не признает временное правительство Киргизии","501. Конфликтология. Давление (санкции)
502. Демократия и авторитаризм. Революция
804. Центральная Азия и/или Закавказье","",""
"59","Ф","VII ОК МГЮА","Открытый","Москва","2010.04","ЭПСЧ дела о терроризме должны рассматриваться с участием присяжных заседателей","501. Конфликтология и/или безопасность и/или функции уголовной ответственности
501. Конфликтология. Давление (самооборона / месть)
502. Демократия и авторитаризм. Эксперты vs. народ. Суд присяжных","","1"
"67","Р1","Финальный тур МЛЧ 2009/2010","Городской","Москва","2010.","ЭП сделает обязательными акции по сбору донорской крови","202. Перераспределение.
724. Медицина. Донорство","","2"
"68","Р2","Финальный тур МЛЧ 2009/2010","Городской","Москва","2010.","ЭП запретит партиям иметь больше 50% мест в парламентах любых уровней","502. Демократия и авторитаризм..","","2"
"69","Р3","Финальный тур МЛЧ 2009/2010","Городской","Москва","2010.","ЭП введёт налог на роскошь","202. Перераспределение.
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост","","1"
"70","Р4","Финальный тур МЛЧ 2009/2010","Городской","Москва","2010.","ЭПСЧ, что организации, которые поддерживают права геев, должны выступать против заключения ими браков (?)","613. ЛГБТ+
712. Околосемейные отношения. Брак","","1"
"71","ПФ","Финальный тур МЛЧ 2009/2010","Городской","Москва","2010.","ЭП запретит рекламу лекарств","306. Действие. Иррациональный / несвободный выбор.
402. Конкуренция. Реклама и продвижение
724. Медицина. Фармакология","","1"
"72","Ф","Финальный тур МЛЧ 2009/2010","Городской","Москва","2010.","ЭП разрешит вооружённым силам всех стран физически уничтожать пиратов без суда и следствия","501. Конфликтология. Давление (уголовка: смертная казнь)","","1"
"74","Р2","III КП МГЮА","Открытый","Москва","2010.10","ЭП разрешит Красному Кресту вмешиваться в конфликт без согласия государства, на территории которого проходит конфликт (формулировка очень примерная)","501. Конфликтология. Влияние.
501. Конфликтология. Давление (война)","",""
"75","Ф","III КП МГЮА","Открытый","Москва","2010.10","ЭПСЧ представители государства не имеют права демонстрировать принадлежность к определённой религии ","725. Религия. Религия как нечто особенное","",""
"76","Р1","ОК НГУ 2010","Открытый","Новосибирск","2010.11.","ЭП запретит ношение травматического оружия частными лицами","501. Конфликтология. Давление (самооборона / месть: огнестрел)","",""
"77","Р2","ОК НГУ 2010","Открытый","Новосибирск","2010.11.","ЭП даст право осужденным выбрать более тяжкое наказание в обмен на сокращение срока","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология. Давление (уголовка: пытки / телесные)
501. Конфликтология. Давление (уголовка: тюрьма)","",""
"78","Р3","ОК НГУ 2010","Открытый","Новосибирск","2010.11.","ЭПСЧ высшие государственные чиновники должны воздержаться от посещения спорных территорий","501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
501. Конфликтология. Давление..","",""
"79","Р4","ОК НГУ 2010","Открытый","Новосибирск","2010.11.","ЭП поддерживает приватизацию памятников архитектуры","403. Управление (государство, частник, НКО)
733. Развлечения. Искусство и культура","",""
"80","Р5","ОК НГУ 2010","Открытый","Новосибирск","2010.11.","ЭП поддерживает принудительное лечение наркоманов по заявлению родственников","306. Действие. Иррациональный / несвободный выбор.
712. Околосемейные отношения
724. Медицина. Наркотики","",""
"81","ПФ","ОК НГУ 2010","Открытый","Новосибирск","2010.11.","ЭП запретит Wikileaks","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
501. Конфликтология и/или безопасность. Прослушка и проч. (+ privacy)
721. Информационная сфера. СМИ и свобода слова","",""
"82","Ф","ОК НГУ 2010","Открытый","Новосибирск","2010.11.","ЭП отменит необходимость получения разрешения местных властей на проведение митингов","502. Демократия и авторитаризм..
503. Идентичность и/или Интеграция
802. Россия. Политика и общество","",""
"83","Р?","I тур МЛЧ 2010/2011 гг.","Для новичков","Москва","2010.","ЭПСЧ государство не должно пускать на свою территорию иностранцев с тяжкими вирусными заболеваниями","724. Медицина","",""
"84","Р1","ОТ «Дебаты в горошек»","Открытый","Санкт-Петербург","2010.11.","ЭП запретит негосударственные ВУЗы","403. Управление (государство, частник, НКО)
723. Образование","",""
"85","Р2","ОТ «Дебаты в горошек»","Открытый","Санкт-Петербург","2010.11.","ЭП ограничит движение автомобилей в историческом центре города","731. Миграция и демография. Урбанистика","",""
"86","Р3","ОТ «Дебаты в горошек»","Открытый","Санкт-Петербург","2010.11.","ЭПСЧ родителям детей, страдающих ожирением, должно быть предъявлено обвинение в жестоком обращении с детьми","713. Дети. Воспитание, лишение родит. Прав
724. Медицина. Ожирение, ЗОЖ, бодипозитив","",""
"87","Р4","ОТ «Дебаты в горошек»","Открытый","Санкт-Петербург","2010.11.","ЭПСЧ развивающиеся страны не должны принимать крупные международные спортивные и культурные мероприятия","401. Неравенство и/или экономический рост
732. Спорт","",""
"88","ПФ","ОТ «Дебаты в горошек»","Открытый","Санкт-Петербург","2010.11.","ЭПСЧ экономика свободного рынка не делает работников свободными","202. Перераспределение.
305. Действие. Стимул работать..
306. Действие. Иррациональный / несвободный выбор.
403. Управление (государство, частник, НКО)
404. Трудовые права.
601. Ущемляемые","",""
"89","Ф","ОТ «Дебаты в горошек»","Открытый","Санкт-Петербург","2010.11.","ЭПСЧ Дмитрий Медведев должен отказаться от участия в выборах 2012 года в пользу Владимира Путина","501. Конфликтология. Влияние (международка)
502. Демократия и авторитаризм..
802. Россия. Политика и общество","",""
"91","Р2","II тур МЛЧ 2010/2011 гг.","Для новичков","Москва","2011.","ЭПСЧ подразделения армии в РФ должны быть моноэтническими ","501. Конфликтология. Давление (вооружённые силы)
503. Идентичность и/или Интеграция
614. Расизм","","1"
"92","Р1","II ВОТ МГУ","Открытый","Москва","2011.03","ЭП против силового вмешательства в гражданскую войну в Ливии","501. Конфликтология. Давление (война)
502. Демократия и авторитаризм..
806. Большой Ближний Восток..","",""
"93","Р2","II ВОТ МГУ","Открытый","Москва","2011.03","ЭП против увеличения размера минимального уставного капитала ООО до 500 000 руб.","402. Конкуренция..","",""
"94","Р3","II ВОТ МГУ","Открытый","Москва","2011.03","ЭП предоставит право всем людям продавать свои органы","306. Действие. Иррациональный / несвободный выбор.
724. Медицина. Донорство","",""
"95","Р4","II ВОТ МГУ","Открытый","Москва","2011.03","ЭПСЧ постоянно правящие, доминирующие партии должны разделяться по решению суда","502. Демократия и авторитаризм..","",""
"96","Р5","II ВОТ МГУ","Открытый","Москва","2011.03","ЭПСЧ государство имеет право заблокировать Интернет (формулировка примерная)","722. Технологии. Интернет, хакеры","",""
"97","ПФ","II ВОТ МГУ","Открытый","Москва","2011.03","ЭПСЧ прогрессивная шкала налогообложения является экономически и социально обоснованной","202. Перераспределение.
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост","",""
"98","Ф","II ВОТ МГУ","Открытый","Москва","2011.03","ЭП должна предоставить однополым парам право усыновления детей","613. ЛГБТ+
713. Дети. Детдома, усыновление
713. Дети. Воспитание, лишение родит. прав","","1"
"99","Р1","III тур МЛЧ 2010/2011 гг.","Для новичков","Москва","2011.03","ЭПСЧ демократические страны должны наказывать телекоммуникационные компании за сделки с авторитарными режимами, в результате которых нарушаются права местного населения на свободу слова
* Тема была заранее известна","501. Конфликтология. Давление (санкции)
502. Демократия и авторитаризм..
721. Информационная сфера. СМИ и свобода слова","",""
"103","Р?","VIII ОК МГЮА","Открытый","Москва","2011.04","ЭП запретит все конкурсы красоты для детей","713. Дети. Родители и дети
724. Медицина. Ожирение, ЗОЖ, бодипозитив","",""
"104","Р?","VIII ОК МГЮА","Открытый","Москва","2011.04","ЭП откажется от использования ядерной энергии","407. Рынок энергетики и ресурсов
726. Экология","",""
"105","Р?","VIII ОК МГЮА","Открытый","Москва","2011.04","ЭП разрешит Международному Уголовному суду инициировать и рассматривать дела в отношении любых субъектов, независимо от ратификации заинтересованными государствами положений Римского статута","501. Конфликтология. Влияние.
501. Конфликтология и/или безопасность и/или функции уголовной ответственности
810. Мир..","",""
"106","Р?","VIII ОК МГЮА","Открытый","Москва","2011.04","ЭПСЧ развитые страны не должны оказывать помощь развивающимся странам в целях развития экономики","202. Перераспределение.
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост","",""
"107","Р?","VIII ОК МГЮА","Открытый","Москва","2011.04","ЭП введет общеобязательный и безальтернативный досмотр на всех видах транспорта при помощи ""голых"" сканеров","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
501. Конфликтология и/или безопасность. Прослушка и проч. (+ privacy)","",""
"108","ПФ","VIII ОК МГЮА","Открытый","Москва","2011.04","ЭПСЧ использование добровольных ""живых"" щитов оправдано во время военных конфликтов","501. Конфликтология. Давление (война)","",""
"109","Ф","VIII ОК МГЮА","Открытый","Москва","2011.04","ЭП запретит позитивную дискриминацию","305. Действие. Стимул работать..
503. Идентичность и/или Интеграция
601. Ущемляемые","","1"
"110","Р1","Кубок Сибири 2011","Открытый","Новосибирск","2011.05","ЭП национализирует нефтедобывающие компании","403. Управление (государство, частник, НКО)
407. Рынок энергетики и ресурсов","",""
"111","Р2","Кубок Сибири 2011","Открытый","Новосибирск","2011.05","ЭПСЧ следует приравнять супружескую измену к правонарушению","712. Околосемейные отношения. Измена","",""
"112","Р3","Кубок Сибири 2011","Открытый","Новосибирск","2011.05","ЭП отменит обязательное исполнение федеральных стандартов высшего образования","723. Образование","",""
"113","Р4","Кубок Сибири 2011","Открытый","Новосибирск","2011.05","ЭП разрешит в РФ использование связи с непроницаемой для спецслужб системой шифрования данных","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
501. Конфликтология и/или безопасность. Прослушка и проч. (+ privacy)","",""
"114","Р5","Кубок Сибири 2011","Открытый","Новосибирск","2011.05","ЭПСЧ регионы должны обладать правом выхода из состава государства","501. Конфликтология. Влияние (единство: сепаратизм / интеграция)","",""
"115","Р6","Кубок Сибири 2011","Открытый","Новосибирск","2011.05","ЭП запретит любые забастовки","305. Действие. Стимул работать..
306. Действие. Иррациональный / несвободный выбор.
404. Трудовые права (профсоюзы)
501. Конфликтология. Влияние (единство)","",""
"116","ЧФ","Кубок Сибири 2011","Открытый","Новосибирск","2011.05","ЭП прекратит государственную поддержку сохранения традиционного образа жизни коренных народов","403. Управление (государство, частник, НКО)
503. Идентичность и/или Интеграция
614. Расизм","",""
"117","ПФ","Кубок Сибири 2011","Открытый","Новосибирск","2011.05","ЭП будет немедленно освобождать лиц, осужденных за преступления сексуального характера, в обмен на добровольную кастрацию","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология. Давление..
612. Лукизм (+ Сексуальная объективация + Сексуальное насилие)","",""
"118","Ф","Кубок Сибири 2011","Открытый","Новосибирск","2011.05","ПВК – Декабрь 1991 г. Вы – Ельцин, Кравчук и Шушкевич. Не подписывайте Беловежское соглашение","501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
811. История.","",""
"120","Р?","Полемика","Открытый","Санкт-Петербург","2011.05","ЭПСЧ согласие отца ребёнка должно быть необходимым условием совершения аборта","714. Деторождение. Аборт","",""
"121","Р1","Финальный тур МЛЧ 2010/2011","Городской","Москва","2011.","ЭП введёт мажоритарную избирательную систему взамен пропорциональной (формулировка приблизительная)","502. Демократия и авторитаризм..","",""
"122","Р2","Финальный тур МЛЧ 2010/2011","Городской","Москва","2011.","ЭП лишит права вето постоянных членов СБ ООН (формулировка приблизительная)","501. Конфликтология. Влияние (международка)
501. Конфликтология. Давление (война)
501. Конфликтология. Давление (санкции)
502. Демократия и авторитаризм..
810. Мир. ООН","",""
"123","Р3","Финальный тур МЛЧ 2010/2011","Городской","Москва","2011.","ЭП криминализует практику БДСМ (формулировка приблизительная)","711. Секс","",""
"124","Р4","Финальный тур МЛЧ 2010/2011","Городской","Москва","2011.","ЭП введёт «амнистию капиталов» (формулировка приблизительная)","202. Перераспределение.
305. Действие. Стимул работать..
402. Конкуренция. Офшоры","",""
"125","ПФ","Финальный тур МЛЧ 2010/2011","Городской","Москва","2011.","ЭП запретит любую рекламу, кроме социальной","306. Действие. Иррациональный / несвободный выбор.
402. Конкуренция. Реклама и продвижение","",""
"126","Ф","Финальный тур МЛЧ 2010/2011","Городской","Москва","2011.","ЭП запретит родителям крестить или посвящать другим способом детей в религию","713. Дети. Родители и дети
725. Религия","","1"
"130","","Игра вне турнира","Игра вне турнира","-","2011.08-12.","ЭП поддерживает введение финансового fair play (в спорте)","732. Спорт","",""
"132","Ф","Pro et contra I","Открытый","Екатеринбург","2011.09","ЭПСЧ государство обязано выдавать тела убитых террористов их родственникам","303. Привязанность / проект. Семья.
501. Конфликтология. Давление..","","1"
"133","Р1","IV КП МГЮА","Открытый","Москва","2011.10","ЭПСЧ, что США не должны накладывать вето на решение СБ ООН о принятии Палестины в ООН","501. Конфликтология. Влияние (международка)
501. Конфликтология. Давление..
806. Большой Ближний Восток. Израиль и/или Палестина","",""
"134","Р2","IV КП МГЮА","Открытый","Москва","2011.10","ЭП установит квоты для семейных женщин в крупных корпорациях","305. Действие. Стимул работать..
611. Гендерное неравенство. Права женщин (феминизм)
712. Околосемейные отношения. Брак","",""
"135","Р3","IV КП МГЮА","Открытый","Москва","2011.10","ЭП запретит СМИ использовать программные средства в целях улучшения образа людей","724. Медицина. Ожирение, ЗОЖ, бодипозитив","",""
